Input
kesikelyaf[.]com
86.105[.]1.116
mshcoop[.]com
50[.]125[.]99[.]70
109[.]173[.]104[.]236
41[.]211[.]9[.]234
movieultimate[.]com
54[.]36[.]134[.]247
195[.]178[.]14[.]30
tarhelypark[.]com
